Erythroid,T,B,GMP,Myeloid
0.18882182,0.32877374,0.06503222,0.326563,0.0908092
0.08863694,0.09974433,0.10517907,0.35800064,0.34843898
0.14767693,0.3215782,0.057216424,0.24563582,0.22789267
0.19008476,0.09170455,0.43394476,0.120218225,0.16404766
0.11447151,0.22308446,0.13289693,0.27245912,0.25708795
0.15363206,0.17702273,0.42720667,0.061688542,0.18045002
0.20275098,0.070128255,0.04431105,0.39714128,0.28566846
0.26826814,0.08176914,0.32345694,0.06282792,0.26367784
0.114343815,0.24559818,0.29626736,0.23427607,0.10951454
0.14840421,0.19279672,0.3365612,0.09518866,0.22704916
0.23746775,0.18519269,0.23394594,0.15525387,0.1881398
0.15736647,0.07315438,0.24154484,0.24602246,0.2819118
0.11620216,0.29587963,0.27605638,0.23018001,0.08168177
0.31225833,0.08278734,0.09852985,0.30145127,0.20497322
0.22502218,0.18350585,0.29758364,0.13838603,0.15550229
0.12012672,0.18378118,0.2476705,0.36083707,0.08758451
0.1286228,0.3878544,0.2321442,0.10868406,0.14269453
0.25950783,0.03714334,0.18572825,0.25210792,0.26551262
0.28720966,0.097075105,0.27170777,0.20526469,0.13874277
0.29101264,0.048908915,0.23638916,0.13561368,0.28807566
0.121451154,0.2618082,0.13608128,0.13993272,0.3407267
0.23785783,0.126568,0.109084584,0.20140076,0.3250888
0.13367714,0.40570006,0.08214152,0.033947714,0.3445335
0.25619715,0.06148373,0.23512645,0.2910176,0.15617506
0.2924485,0.045972884,0.117861316,0.48168787,0.062029406
0.25196663,0.29639044,0.1260862,0.10359953,0.22195715
0.18647201,0.08931141,0.16243908,0.38614693,0.1756306
0.16436563,0.10353385,0.3260895,0.30697966,0.09903134
0.24018754,0.13421685,0.0466964,0.31083986,0.26805934
0.15511581,0.1032653,0.18485127,0.1805965,0.37617114
0.18542312,0.10015996,0.1562717,0.28345358,0.27469164
0.25681955,0.06505575,0.28506842,0.21140759,0.18164879
0.41220126,0.04747693,0.056923382,0.34123644,0.142162
