Luminal_Macrophages,Type 2 alveolar,Fibroblasts,Dendritic cells
0.33916327,0.18950465,0.2017815,0.26955062
0.1491628,0.24926034,0.20181035,0.39976647
0.12178725,0.14562407,0.4150955,0.31749314
0.24295744,0.20822686,0.348841,0.19997472
0.10274359,0.2520631,0.19209145,0.45310193
0.33125028,0.06904286,0.41348013,0.18622673
0.02811923,0.42870244,0.45611495,0.0870634
0.16610523,0.07851014,0.4826163,0.27276838
0.092359446,0.30480883,0.26200393,0.34082776
0.07383285,0.3018451,0.47172743,0.15259466
0.15694638,0.15669766,0.10581759,0.5805384
0.066084154,0.4088471,0.44125974,0.08380899
0.37851623,0.29829073,0.029653352,0.2935397
0.20311558,0.38729507,0.14904924,0.26054016
0.09046754,0.30328834,0.3817865,0.2244576
0.3886844,0.43717727,0.098863706,0.0752746
0.29524523,0.40258673,0.08778829,0.21437973
0.19890217,0.3839362,0.14563431,0.2715273
0.123694286,0.28679925,0.4882586,0.10124785
0.44289705,0.042563584,0.03315417,0.4813852
0.28556702,0.31055933,0.04971173,0.35416192
0.054694135,0.37273723,0.28486884,0.28769973
0.24303947,0.1358469,0.14451995,0.4765936
0.15324001,0.52292,0.110611,0.21322894
0.29853585,0.08185577,0.451656,0.16795236
0.3530644,0.16576184,0.16630232,0.3148715
0.2762773,0.332905,0.08733348,0.30348426
0.050416075,0.2579017,0.34203172,0.34965053
0.13375986,0.27464467,0.32990086,0.26169464
0.31804305,0.20466137,0.14336807,0.33392748
0.275896,0.05743893,0.3315309,0.3351342
0.33576173,0.31722376,0.13733618,0.20967828
0.05820215,0.34278795,0.30191606,0.29709387
0.2954565,0.31974962,0.15458077,0.23021312
0.4169439,0.24059834,0.24005063,0.10240711
0.1669637,0.09985318,0.42651352,0.3066696
0.3958242,0.07724213,0.27444807,0.2524856
0.33586493,0.2705157,0.31262267,0.08099677
0.4378314,0.22289228,0.05027379,0.28900254
0.29008713,0.27926192,0.37972715,0.05092379
0.20600434,0.25552636,0.3407495,0.19771987
0.17405288,0.21533042,0.32222787,0.28838882
0.24061033,0.0516423,0.19321178,0.5145356
0.5119614,0.15336928,0.23526415,0.099405155
